utc,tke
2016-01-08 01:00:00,0.0222296
2016-01-08 01:20:00,0.0332346
2016-01-08 01:40:00,0.107467
2016-01-08 02:00:00,0.309283
2016-01-08 02:20:00,0.351399
2016-01-08 02:40:00,0.368145
2016-01-08 03:00:00,0.426638
2016-01-08 03:20:00,0.449650
2016-01-08 03:40:00,0.422360
2016-01-08 04:00:00,0.420415
2016-01-08 04:20:00,0.434183
2016-01-08 04:40:00,0.457244
2016-01-08 05:00:00,0.496249
2016-01-08 05:20:00,0.528044
2016-01-08 05:40:00,0.572612
2016-01-08 06:00:00,0.619504
2016-01-08 06:20:00,0.616127
2016-01-08 06:40:00,0.544888
2016-01-08 07:00:00,0.524248
2016-01-08 07:20:00,0.523674
2016-01-08 07:40:00,0.505138
2016-01-08 08:00:00,0.482959
2016-01-08 08:20:00,0.461695
2016-01-08 08:40:00,0.471175
2016-01-08 09:00:00,0.424857
2016-01-08 09:20:00,0.356840
2016-01-08 09:40:00,0.296893
2016-01-08 10:00:00,0.286886
2016-01-08 10:20:00,0.342431
2016-01-08 10:40:00,0.363849
2016-01-08 11:00:00,0.396075
2016-01-08 11:20:00,0.490353
2016-01-08 11:40:00,0.766831
2016-01-08 12:00:00,0.804299
2016-01-08 12:20:00,0.872717
2016-01-08 12:40:00,0.839924
2016-01-08 13:00:00,0.787478
2016-01-08 13:20:00,0.754266
2016-01-08 13:40:00,0.734289
2016-01-08 14:00:00,0.753399
2016-01-08 14:20:00,0.693731
2016-01-08 14:40:00,0.679948
2016-01-08 15:00:00,0.712455
2016-01-08 15:20:00,0.754748
2016-01-08 15:40:00,0.746808
2016-01-08 16:00:00,0.728716
2016-01-08 16:20:00,0.655974
2016-01-08 16:40:00,0.685020
2016-01-08 17:00:00,0.761241
